packsize,price,price_per_unit,product_image,product_title
per kg,"$17.,99",$17.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/b/9/csm_W13_SUPER_SAVERS_MEAT_1x1__bdc2c6771b.jpg,"
					Ready, Set...Cook! Marinated Lamb Shoulder per kg 
				"
510g,"$4.,99",98c per 100g,https://www.aldi.com.au/fileadmin/_processed_/3/4/csm_W13_SUPER_SAVERS_MEAT_1x1_2_a52d92dff4.jpg,"
					World Kitchen Roasted Vegetable Pizza 510g 
				"
per kg,"$10.,99",$10.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/6/9/csm_W13_SUPER_SAVERS_MEAT_1x1_3_cff5fa511a.jpg,"
					Ironbark Pork Loin Roast per kg 
				"
4pk,"$12.,99",$28.24 per kg,https://www.aldi.com.au/fileadmin/_processed_/b/5/csm_W13_SUPER_SAVERS_MEAT_1x1_4_288e9a3100.jpg,"
					The Fishmonger Fresh Tasmanian Salmon Skin Off 4pk/460g 
				"
400g,"$5.,99",$14.98 per kg,https://www.aldi.com.au/fileadmin/_processed_/4/9/csm_W13_SUPER_SAVERS_MEAT_1x1_5_1642a44ec3.jpg,"
					Ingham’s Chicken Mini Kievs 400g 
				"
2kg,"$5.,99",$3.00 per kg,https://www.aldi.com.au/fileadmin/_processed_/8/6/csm_ALN3255_1x1_228x128_4_R_41580bd29a.jpg,"
					Broad Oak Farms Chicken Drumsticks 2kg 
				"
per kg,"$19.,99",$19.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/b/5/csm_ALN3255_1x1_228x128_3_aced897aeb.jpg,"
					Killarnee Lamb Loin Chops per kg 
				"
,"$23.,99",$23.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_ALN3255_1x1_228x128_5_ed01d533fa.jpg,"
					Ocean Royale Atlantic Salmon Portions Skin On 1kg 
				"
,"$4.,99",$17.82 per kg,https://www.aldi.com.au/fileadmin/_processed_/3/7/csm_ALN3255_1x1_228x128_7_aa4735cccf.jpg,"
					Ocean Royale Salmon Wellington 280g 
				"
4pk,"$2.,99",62c per 100ml,https://www.aldi.com.au/fileadmin/_processed_/b/8/csm_ALN3255_1x1_228x128_8_011dacff0a.jpg,"
					Monarc Crowns 4pk/475ml 
				"
ea,"$3.,99",40c per 100ml,https://www.aldi.com.au/fileadmin/_processed_/a/4/csm_ALN3255_1x1_228x128_9_85a81b784f.jpg,"
					Monarc Obsession Ice Cream 1L 
				"
ea,"$1.,49",44c per 100g,https://www.aldi.com.au/fileadmin/_processed_/5/f/csm_ALN3255_1x1_228x128_23_a7ca917d34.jpg,"
					Food Envy Vanilla Bean Rice Pudding 2 x 170g 
				"
ea,"$2.,99",$1.00 per 100g,https://www.aldi.com.au/fileadmin/_processed_/7/b/csm_ALN3255_1x1_228x128_10_164904ec06.jpg,"
					Belmont Biscuit Co. Jaffa Cakes 300g 
				"
ea,49,33c per 100g,https://www.aldi.com.au/fileadmin/_processed_/0/8/csm_ALN3255_1x1_228x128_11_f4fa14ac05.jpg,"
					Belmont Biscuit Co. Crème Biscuits 150g 
				"
ea,"$1.,99",$1.33 per 100g,https://www.aldi.com.au/fileadmin/_processed_/9/d/csm_ALN3255_1x1_228x128_12_6d9e865149.jpg,"
					Choceur Liviano 150g 
				"
,"$3.,99",80c per 100g,https://www.aldi.com.au/fileadmin/_processed_/b/7/csm_ALN3255_1x1_228x128_13_ccfc319d45.jpg,"
					The Cake Stall Banana Bread Slices 5pk/500g 
				"
ea,"$1.,49",78c per 100g,https://www.aldi.com.au/fileadmin/_processed_/b/5/csm_ALN3255_1x1_228x128_14_290ef3774c.jpg,"
					Colway Mustard 190g 
				"
8pk,"$2.,99",53c per 100g,https://www.aldi.com.au/fileadmin/_processed_/4/b/csm_ALN3255_1x1_228x128_15_d1216f2695.jpg,"
					Bakers Life Large Wraps 8pk/560g 
				"
ea,"$1.,79",$3.25 per 100g,https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_ALN3255_1x1_228x128_16_37965ba304.jpg,"
					Essential Health Meal Replacement Shakes 55g 
				"
ea,99,62c per 100g,https://www.aldi.com.au/fileadmin/_processed_/2/5/csm_ALN3255_1x1_228x128_17_7aca2540b8.jpg,"
					Yoguri Protein Yogurt 160g 
				"
,"$6.,49",,https://www.aldi.com.au/fileadmin/_processed_/7/e/csm_ALN3255_1x1_228x128_18_468e296982.jpg,"
					One Road Chardonnay 750ml 
				"
,"$1.,99",50c per 100g,https://www.aldi.com.au/fileadmin/_processed_/0/f/csm_ALN3255_1x1_228x128_19_3c091a585d.jpg,"
					Piatti Fresh Garlic Bread Loaf 400g 
				"
,"$5.,99",$1.20 per 100g,https://www.aldi.com.au/fileadmin/_processed_/7/7/csm_ALN3255_1x1_228x128_20_88e39c17b5.jpg,"
					Julius Dog Beef Liver Treatz 500g 
				"
2pk,"$1.,49",$1.49 per 100g,https://www.aldi.com.au/fileadmin/_processed_/a/d/csm_ALN3255_1x1_228x128_21_ce4c98fa6c.jpg,"
					Power Force Toilet Blocks 2 x 50g 
				"
ea,"$1.,99",80c/40c per 100ml,https://www.aldi.com.au/fileadmin/_processed_/5/0/csm_ALN3255_1x1_228x128_22_2f99fd8109.jpg,"
					Logix Rinse Aid or Dishwasher Cleaner 250ml/500ml 
				"
,,see price in store*,https://www.aldi.com.au/fileadmin/_processed_/9/4/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128__e655e9c06c.jpg,"
					Market Fare Corn Cobs 1kg 
				"
140g,"$1.,79",$1.28 per 100g,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2364-7_HEALTH_1x1_228x128__d9c1a69508.jpg,"
					Dentitex Advanced Whitening Toothpaste 
				"
,"$4.,99",$9.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/7/d/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_6_2dac99110b.jpg,"
					LACURA, Essentials BB Cream SPF 15 50ml 
				"
,"$2.,59",$2.59 per kg,https://www.aldi.com.au/fileadmin/_processed_/a/2/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_2_b2bba5422e.jpg,"
					Market Fare Corn Kernels 1kg 
				"
,"$1.,99",$1.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_3_591795a34d.jpg,"
					Market Fare Garden Peas 1kg 
				"
1kg,"$2.,99",$2.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_ALN2853_FROZEN_FOOD_1x1_228x128__772adc84e0.jpg,"
					Market Fare Baby Peas 1kg 
				"
,"$2.,79",$2.79 per kg,https://www.aldi.com.au/fileadmin/_processed_/a/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_4_32b4dc35ff.jpg,"
					Market Fare Peas, Carrots & Corn 1kg 
				"
,"$1.,99",$1.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_5_728efad4f0.jpg,"
					Market Fare Green Beans 1kg 
				"
,"$4.,49",$4.08 per 100g,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_ALN2364-7_HEALTH_1x1_228x128_5_684b45adc5.jpg,"
					Dentitex Sensitive Plus Whitening Toothpaste  
				"
2pk,"$1.,99",$1.00 per unit,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_HEALTH_1x1_228x128_4_5cb4d06f7a.jpg,"
					Dentitex Interdental Pro Toothbrush 2pk 
				"
2pk,"$2.,99",$1.50 per unit,https://www.aldi.com.au/fileadmin/_processed_/3/a/csm_ALN2364-7_HEALTH_1x1_228x128_3_e4b1c3337d.jpg,"
					Dentitex Orbit Toothbrush 2pk 
				"
1L,"$4.,19",42c per 100mL,https://www.aldi.com.au/fileadmin/_processed_/7/8/csm_ALN2853_HEALTH_1x1_228x128_5_90b70c5e97.jpg,"
					Dentitex Mouthwash 1L 
				"
